action,recommendedCollection,reviewDecision,reason,sourceCategory,sourceSlug,id,name,price,availability,imageCount,localImages,sourceUrl,importStatus,importedAt,websitePath
"new-category","bedroom-sets","exclude","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-black-beige-bedroom-set-with-storage-bed-4-door-wardrobe","Modern Black & Beige Bedroom Set with Storage Bed & 4-Door Wardrobe","170000","In stock","1","images/modern-black-beige-bedroom-set-with-storage-bed-4-door-wardrobe/Modern-Black-Beige-Bedroom-Set-with-Storage-Bed-3-Door-Wardrobe.jpg","https://www.betterhomeindia.com/product/modern-black-beige-bedroom-set-with-storage-bed-4-door-wardrobe/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","stellar-luxury-upholstered-storage-bed-with-side-tables","Stellar Luxury Upholstered Storage Bed with Side Tables","60000","In stock","1","images/stellar-luxury-upholstered-storage-bed-with-side-tables/Stellar-Luxury-Upholstered-Storage-Bed-with-Side-Tables.jpg","https://www.betterhomeindia.com/product/stellar-luxury-upholstered-storage-bed-with-side-tables/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","kingdom-luxury-bedroom-set-with-upholstered-king-bed-4-door-wardrobe","Kingdom Luxury Bedroom Set with Upholstered King Bed & 4 Door Wardrobe","155000","In stock","1","images/kingdom-luxury-bedroom-set-with-upholstered-king-bed-4-door-wardrobe/Kingdom-Luxury-Bedroom-Set-with-Upholstered-King-Bed-4-Door-Wardrobe.jpg","https://www.betterhomeindia.com/product/kingdom-luxury-bedroom-set-with-upholstered-king-bed-4-door-wardrobe/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","king-luxury-bedroom-set-with-upholstered-bed-sliding-wardrobe","King Luxury Bedroom Set with Upholstered Bed & Sliding Wardrobe","160000","In stock","1","images/king-luxury-bedroom-set-with-upholstered-bed-sliding-wardrobe/King-Luxury-Bedroom-Set-with-Upholstered-Bed-Sliding-Wardrobe.jpg","https://www.betterhomeindia.com/product/king-luxury-bedroom-set-with-upholstered-bed-sliding-wardrobe/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","alwin-designer-bedroom-set-with-sliding-wardrobe-storage-bed","Alwin Designer Bedroom Set with Sliding Wardrobe & Storage Bed","160000","In stock","1","images/alwin-designer-bedroom-set-with-sliding-wardrobe-storage-bed/Alwin-Designer-Bedroom-Set-with-Sliding-Wardrobe-Storage-Bed.jpg","https://www.betterhomeindia.com/product/alwin-designer-bedroom-set-with-sliding-wardrobe-storage-bed/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","v-stripe-modern-bedroom-set-with-sliding-wardrobe-storage-bed","V-Stripe Modern Bedroom Set with Sliding Wardrobe & Storage Bed","160000","In stock","1","images/v-stripe-modern-bedroom-set-with-sliding-wardrobe-storage-bed/V-Stripe-Modern-Bedroom-Set-with-Sliding-Wardrobe-Storage-Bed.jpg","https://www.betterhomeindia.com/product/v-stripe-modern-bedroom-set-with-sliding-wardrobe-storage-bed/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-wooden-bedroom-set-with-sliding-wardrobe-storage-bed","Modern Wooden Bedroom Set with Sliding Wardrobe & Storage Bed","75000","In stock","1","images/modern-wooden-bedroom-set-with-sliding-wardrobe-storage-bed/Modern-Wooden-Bedroom-Set-with-Sliding-Wardrobe-Storage-Bed.jpg","https://www.betterhomeindia.com/product/modern-wooden-bedroom-set-with-sliding-wardrobe-storage-bed/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","classic-wooden-bedroom-set-with-dressing-table-3-door-wardrobe","Classic Wooden Bedroom Set with Dressing Table & 3 Door Wardrobe","78000","In stock","1","images/classic-wooden-bedroom-set-with-dressing-table-3-door-wardrobe/Classic-Wooden-Bedroom-Set-with-Dressing-Table-3-Door-Wardrobe.jpg","https://www.betterhomeindia.com/product/classic-wooden-bedroom-set-with-dressing-table-3-door-wardrobe/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-wood-black-bedroom-set-with-dressing-table-3-door-wardrobe","Modern Wood & Black Bedroom Set with Dressing Table & 3 Door Wardrobe","85000","In stock","1","images/modern-wood-black-bedroom-set-with-dressing-table-3-door-wardrobe/Modern-Wood-Black-Bedroom-Set-with-Dressing-Table-3-Door-Wardrobe.jpg","https://www.betterhomeindia.com/product/modern-wood-black-bedroom-set-with-dressing-table-3-door-wardrobe/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","premium-wood-black-bedroom-set-with-4-door-wardrobe-dressing-unit","Premium Wood & Black Bedroom Set with 4 Door Wardrobe & Dressing Unit","80000","In stock","1","images/premium-wood-black-bedroom-set-with-4-door-wardrobe-dressing-unit/Premium-Wood-Black-Bedroom-Set-with-4-Door-Wardrobe-Dressing-Unit.jpg","https://www.betterhomeindia.com/product/premium-wood-black-bedroom-set-with-4-door-wardrobe-dressing-unit/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-white-wood-bedroom-set-with-4-door-wardrobe-dressing-table","Modern White & Wood Bedroom Set with 4 Door Wardrobe & Dressing Table","120000","In stock","1","images/modern-white-wood-bedroom-set-with-4-door-wardrobe-dressing-table/Modern-White-Wood-Bedroom-Set-with-4-Door-Wardrobe-Dressing-Table.jpg","https://www.betterhomeindia.com/product/modern-white-wood-bedroom-set-with-4-door-wardrobe-dressing-table/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-wooden-bedroom-set-with-sliding-wardrobe-dressing-unit","Modern Wooden Bedroom Set with Sliding Wardrobe & Dressing Unit","90000","In stock","1","images/modern-wooden-bedroom-set-with-sliding-wardrobe-dressing-unit/Modern-Wooden-Bedroom-Set-with-Sliding-Wardrobe-Dressing-Unit.jpg","https://www.betterhomeindia.com/product/modern-wooden-bedroom-set-with-sliding-wardrobe-dressing-unit/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","premium-imported-executive-office-table-with-led-panel-side-storage-copy","Premium Imported Executive Office Table with LED Panel & Side Storage â€“ Copy","68000","In stock","1","images/premium-imported-executive-office-table-with-led-panel-side-storage-copy/Premium-Imported-Executive-Office-Table-with-LED-Panel-Side-Storage.jpg","https://www.betterhomeindia.com/product/premium-imported-executive-office-table-with-led-panel-side-storage-copy/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","classic-wood-white-bedroom-set-with-3-door-wardrobe-dressing-table","Classic Wood & White Bedroom Set with 3 Door Wardrobe & Dressing Table","80000","In stock","1","images/classic-wood-white-bedroom-set-with-3-door-wardrobe-dressing-table/Classic-Wood-White-Bedroom-Set-with-3-Door-Wardrobe-Dressing-Table.jpg","https://www.betterhomeindia.com/product/classic-wood-white-bedroom-set-with-3-door-wardrobe-dressing-table/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","premium-wooden-bedroom-set-with-glossy-wardrobe-upholstered-bed","Premium Wooden Bedroom Set with Glossy Wardrobe & Upholstered Bed","98000","In stock","1","images/premium-wooden-bedroom-set-with-glossy-wardrobe-upholstered-bed/Premium-Wooden-Bedroom-Set-with-Glossy-Wardrobe-Upholstered-Bed.jpg","https://www.betterhomeindia.com/product/premium-wooden-bedroom-set-with-glossy-wardrobe-upholstered-bed/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","premium-grey-bedroom-set-with-upholstered-bed-sliding-wardrobe-dressing-unit","Premium Grey Bedroom Set with Upholstered Bed, Sliding Wardrobe & Dressing Unit","120000","In stock","1","images/premium-grey-bedroom-set-with-upholstered-bed-sliding-wardrobe-dressing-unit/Premium-Grey-Bedroom-Set-with-Upholstered-Bed-Sliding-Wardrobe-Dressing-Unit.jpg","https://www.betterhomeindia.com/product/premium-grey-bedroom-set-with-upholstered-bed-sliding-wardrobe-dressing-unit/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","premium-wooden-bedroom-set-with-v-design-upholstered-bed-sliding-wardrobe","Premium Wooden Bedroom Set with V-Design Upholstered Bed & Sliding Wardrobe","95000","In stock","1","images/premium-wooden-bedroom-set-with-v-design-upholstered-bed-sliding-wardrobe/Premium-Wooden-Bedroom-Set-with-V-Design-Upholstered-Bed-Sliding-Wardrobe.jpg","https://www.betterhomeindia.com/product/premium-wooden-bedroom-set-with-v-design-upholstered-bed-sliding-wardrobe/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-wood-white-bedroom-set-with-sliding-wardrobe-dressing-unit","Modern Wood & White Bedroom Set with Sliding Wardrobe & Dressing Unit","120000","In stock","1","images/modern-wood-white-bedroom-set-with-sliding-wardrobe-dressing-unit/Modern-Wood-White-Bedroom-Set-with-Sliding-Wardrobe-Dressing-Unit.jpg","https://www.betterhomeindia.com/product/modern-wood-white-bedroom-set-with-sliding-wardrobe-dressing-unit/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","designer-wooden-bedroom-set-with-sliding-wardrobe-upholstered-bed","Designer Wooden Bedroom Set with Sliding Wardrobe & Upholstered Bed","116000","In stock","1","images/designer-wooden-bedroom-set-with-sliding-wardrobe-upholstered-bed/Designer-Wooden-Bedroom-Set-with-Sliding-Wardrobe-Upholstered-Bed.jpg","https://www.betterhomeindia.com/product/designer-wooden-bedroom-set-with-sliding-wardrobe-upholstered-bed/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","luxury-cream-gloss-bedroom-set-with-designer-wardrobe-upholstered-bed","Luxury Cream Gloss Bedroom Set with Designer Wardrobe & Upholstered Bed","160000","In stock","1","images/luxury-cream-gloss-bedroom-set-with-designer-wardrobe-upholstered-bed/Luxury-Cream-Gloss-Bedroom-Set-with-Designer-Wardrobe-Upholstered-Bed.jpg","https://www.betterhomeindia.com/product/luxury-cream-gloss-bedroom-set-with-designer-wardrobe-upholstered-bed/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-teal-green-bedroom-set-with-designer-wardrobe-dressing-unit","Modern Teal Green Bedroom Set with Designer Wardrobe & Dressing Unit","105000","In stock","1","images/modern-teal-green-bedroom-set-with-designer-wardrobe-dressing-unit/Modern-Teal-Green-Bedroom-Set-with-Designer-Wardrobe-Dressing-Unit.jpg","https://www.betterhomeindia.com/product/modern-teal-green-bedroom-set-with-designer-wardrobe-dressing-unit/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","classic-wooden-bedroom-set-with-mirror-wardrobe-dressing-table","Classic Wooden Bedroom Set with Mirror Wardrobe & Dressing Table","96000","In stock","1","images/classic-wooden-bedroom-set-with-mirror-wardrobe-dressing-table/Classic-Wooden-Bedroom-Set-with-Mirror-Wardrobe-Dressing-Table.jpg","https://www.betterhomeindia.com/product/classic-wooden-bedroom-set-with-mirror-wardrobe-dressing-table/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","luxury-imported-executive-office-table-with-dual-side-storage","Luxury Imported Executive Office Table with Dual Side Storage","65000","In stock","1","images/luxury-imported-executive-office-table-with-dual-side-storage/01.jpg","https://www.betterhomeindia.com/product/luxury-imported-executive-office-table-with-dual-side-storage/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","modern-imported-executive-office-table-with-side-cabinet","Modern Imported Executive Office Table with Side Cabinet","70000","In stock","1","images/modern-imported-executive-office-table-with-side-cabinet/Modern-Imported-Executive-Office-Table-with-Side-Cabinet.jpg","https://www.betterhomeindia.com/product/modern-imported-executive-office-table-with-side-cabinet/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","premium-imported-executive-office-table-with-side-storage-unit","Premium Imported Executive Office Table with Side Storage Unit","68000","In stock","1","images/premium-imported-executive-office-table-with-side-storage-unit/Premium-Imported-Executive-Office-Table-with-Side-Storage-Unit.jpg","https://www.betterhomeindia.com/product/premium-imported-executive-office-table-with-side-storage-unit/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","premium-imported-executive-office-table-with-led-panel-side-storage","Premium Imported Executive Office Table with LED Panel & Side Storage","68000","In stock","1","images/premium-imported-executive-office-table-with-led-panel-side-storage/Premium-Imported-Executive-Office-Table-with-LED-Panel-Side-Storage.jpg","https://www.betterhomeindia.com/product/premium-imported-executive-office-table-with-led-panel-side-storage/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","ultra-premium-imported-executive-office-table-with-curved-design","Ultra Premium Imported Executive Office Table with Curved Design","65000","In stock","1","images/ultra-premium-imported-executive-office-table-with-curved-design/Ultra-Premium-Imported-Executive-Office-Table-with-Curved-Design.jpg","https://www.betterhomeindia.com/product/ultra-premium-imported-executive-office-table-with-curved-design/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","premium-imported-executive-office-table-with-designer-panel-side-cabinet","Premium Imported Executive Office Table with Designer Panel & Side Cabinet","55000","In stock","1","images/premium-imported-executive-office-table-with-designer-panel-side-cabinet/Premium-Imported-Executive-Office-Table-with-Designer-Panel-Side-Cabinet.jpg","https://www.betterhomeindia.com/product/premium-imported-executive-office-table-with-designer-panel-side-cabinet/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","premium-imported-conference-table-modern-boardroom-meeting-table","Premium Imported Conference Table â€“ Modern Boardroom Meeting Table","75000","In stock","1","images/premium-imported-conference-table-modern-boardroom-meeting-table/Premium-Imported-Conference-Table---Modern-Boardroom-Meeting-Table.jpg","https://www.betterhomeindia.com/product/premium-imported-conference-table-modern-boardroom-meeting-table/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","premium-2-4m-conference-table-modern-meeting-room-table","Premium 2.4m Conference Table â€“ Modern Meeting Room Table","60000","In stock","1","images/premium-2-4m-conference-table-modern-meeting-room-table/Premium-2.4m-Conference-Table---Modern-Meeting-Room-Table.jpg","https://www.betterhomeindia.com/product/premium-2-4m-conference-table-modern-meeting-room-table/","not yet imported","",""
"import","office-furniture","","Existing office furniture collection","Office Table","office-table","premium-3-2m-executive-conference-table-modern-boardroom-table","Premium 3.2m Executive Conference Table â€“ Modern Boardroom Table","78000","In stock","1","images/premium-3-2m-executive-conference-table-modern-boardroom-table/Premium-3.2m-Executive-Conference-Table---Modern-Boardroom-Table.jpg","https://www.betterhomeindia.com/product/premium-3-2m-executive-conference-table-modern-boardroom-table/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","modern-wood-white-bedroom-set-with-diamond-design-wardrobe-upholstered-bed","Modern Wood & White Bedroom Set with Diamond Design Wardrobe & Upholstered Bed","90000","In stock","1","images/modern-wood-white-bedroom-set-with-diamond-design-wardrobe-upholstered-bed/Modern-Wood-White-Bedroom-Set-with-Diamond-Design-Wardrobe-Upholstered-Bed.jpg","https://www.betterhomeindia.com/product/modern-wood-white-bedroom-set-with-diamond-design-wardrobe-upholstered-bed/","not yet imported","",""
"new-category","bedroom-sets","","Add new Bedroom Sets collection","Bed Room Set","bed-room-set","premium-grey-wood-bedroom-set-with-4-door-wardrobe-dressing-table","Premium Grey & Wood Bedroom Set with 4 Door Wardrobe & Dressing Table","160000","In stock","1","images/premium-grey-wood-bedroom-set-with-4-door-wardrobe-dressing-table/Premium-Grey-Wood-Bedroom-Set-with-4-Door-Wardrobe-Dressing-Table.jpg","https://www.betterhomeindia.com/product/premium-grey-wood-bedroom-set-with-4-door-wardrobe-dressing-table/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","sunday-plastic-arm-chair-set-of-4-iron-black","Sunday Plastic Arm Chair Set of 4 â€“ Iron Black","8800","In stock","1","images/sunday-plastic-arm-chair-set-of-4-iron-black/Sunday-Plastic-Arm-Chair-Set-of-4---Iron-Black.jpg","https://www.betterhomeindia.com/product/sunday-plastic-arm-chair-set-of-4-iron-black/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","elevate-plastic-arm-chair-set-of-4-lush-green","Elevate Plastic Arm Chair Set of 4 â€“ Lush Green","5640","In stock","1","images/elevate-plastic-arm-chair-set-of-4-lush-green/Elevate-Plastic-Arm-Chair-Set-of-4---Lush-Green.jpg","https://www.betterhomeindia.com/product/elevate-plastic-arm-chair-set-of-4-lush-green/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","glam-plastic-chair-set-of-4-steel-pearl-white","Glam Plastic Chair Set of 4 â€“ Steel Pearl White","7500","In stock","1","images/glam-plastic-chair-set-of-4-steel-pearl-white/Glam-Plastic-Chair-Set-of-4---Steel-Pearl-White.jpg","https://www.betterhomeindia.com/product/glam-plastic-chair-set-of-4-steel-pearl-white/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","bliss-plastic-chair-set-of-4-shimmer-gold","Bliss Plastic Chair Set of 4 â€“ Shimmer Gold","6760","In stock","1","images/bliss-plastic-chair-set-of-4-shimmer-gold/Bliss-Plastic-Chair-Set-of-4---Shimmer-Gold.jpg","https://www.betterhomeindia.com/product/bliss-plastic-chair-set-of-4-shimmer-gold/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","ace-plastic-chair-set-of-4-with-cushion-pine-beige","Ace Plastic Chair Set of 4 with Cushion â€“ Pine Beige","8480","In stock","1","images/ace-plastic-chair-set-of-4-with-cushion-pine-beige/Ace-Plastic-Chair-Set-of-4-with-Cushion---Pine-Beige.jpg","https://www.betterhomeindia.com/product/ace-plastic-chair-set-of-4-with-cushion-pine-beige/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","startrek-plastic-arm-chair-set-of-4-milky-white-deep-blue","Startrek Plastic Arm Chair Set of 4 â€“ Milky White / Deep Blue","8500","In stock","1","images/startrek-plastic-arm-chair-set-of-4-milky-white-deep-blue/Startrek-Plastic-Arm-Chair-Set-of-4---Milky-White-Deep-Blue.jpg","https://www.betterhomeindia.com/product/startrek-plastic-arm-chair-set-of-4-milky-white-deep-blue/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","ace-plastic-chair-set-of-4-lush-green","Ace Plastic Chair Set of 4 â€“ Lush Green","11360","In stock","1","images/ace-plastic-chair-set-of-4-lush-green/Ace-Plastic-Chair-Set-of-4---Lush-Green.jpg","https://www.betterhomeindia.com/product/ace-plastic-chair-set-of-4-lush-green/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","aura-plastic-chair-set-of-4-pearl-white","Aura Plastic Chair Set of 4 â€“ Pearl White","8560","In stock","1","images/aura-plastic-chair-set-of-4-pearl-white/Aura-Plastic-Chair-Set-of-4---Pearl-White.jpg","https://www.betterhomeindia.com/product/aura-plastic-chair-set-of-4-pearl-white/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","grace-plastic-chair-set-of-4-pearl-white","Grace Plastic Chair Set of 4 â€“ Pearl White","9500","In stock","1","images/grace-plastic-chair-set-of-4-pearl-white/Grace-Plastic-Chair-Set-of-4---Pearl-White.jpg","https://www.betterhomeindia.com/product/grace-plastic-chair-set-of-4-pearl-white/","not yet imported","",""
"review","chairs","exclude plastic chairs","Would need Chairs/Plastic Chairs category if kept","Plastic Chair","plastic-chair","aura-plastic-chair-set-of-4-gold","Aura Plastic Chair Set of 4 â€“ Gold","8560","In stock","1","images/aura-plastic-chair-set-of-4-gold/Aura-Plastic-Chair-Set-of-4---Gold.jpg","https://www.betterhomeindia.com/product/aura-plastic-chair-set-of-4-gold/","not yet imported","",""
